"","Species","SpecCode","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AirBreathing","AirBreathingRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","VulnerabilityClimate","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"1","Allothunnus fallai",91,"Allothunnus",168,"Serventy, 1948","Slender tuna","Alfal_u0.gif",NA,NA,NA,416,"Scombrinae",8307,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,20,86942,NA,NA,NA,NA,NA,NA,NA,69.93,NA,105,"FL",NA,NA,5313,86,"TL",NA,NA,9684,13700,NA,5313,"ALFAL_U0",NA,NA,NA,171,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"seines","purse seines (PS)",0,0,0,0,0,0,0,0,1,1,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"An occasionally schooling species which feeds mainly on krill (euphausiids), and also on squids and small fishes.  Juveniles are found between 20 and 35°S at surface temperatures ranging from 19 to 24°C.  Its flesh is paler than that of most true tunas and is very oily, but the cooked meat has fine eating qualities.  Mainly marketed fresh.",NA,1,0,2,1990-10-17,2291,2015-06-10,18,1994-03-15,NA
"2","Auxis rochei",93,"Auxis",32349,"(Risso, 1810)","Bullet tuna","Auroc_u0.jpg",NA,NA,NA,416,"Scombrinae",220,1,"fusiform / normal","R",NA,NA,0,0,1,1,"pelagic-neritic","WaterAssumed",NA,"oceanodromous",51243,10,NA,9340,NA,NA,NA,5,125574,NA,NA,26.68,37.5,50,"FL",NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,"AUROC_U0",NA,NA,NA,4931,"highly commercial","very high","Reliable: based on ex-vessel price for this species","<i>A. rochei</i> and <i>A. thazard</i>.","from 100,000 to 500,000","Philippines, Japan, India","seines",NA,0,1,0,1,0,1,0,1,1,1,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,9987,"harmless",NA,"no special ability",NA,NA,1,"Adults are principally caught in coastal waters and around islands (Ref. 9340).  Form schools.  Feed on small fishes, particularly anchovies, crustaceans (especially crab and stomatopod larvae) and squids.  Eggs and larvae are pelagic (Ref. 6769).  Because of their abundance, they are considered an important element of the food web, particularly as forage for other species of commercial interest.  Also caught with encircling nets and troll lines (Ref. 9340).  Marketed fresh and frozen (Ref. 9340) and also dried or salted, smoked and canned (Ref. 9987).",NA,0.5625,0,2,1990-10-17,2448,2021-11-19,133,1999-12-14,NA
"3","Auxis thazard",94,"Auxis",32349,"(Lacepède, 1800)","Frigate tuna","Autha_u1.jpg",NA,NA,NA,416,"Scombrinae",220,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-neritic","WaterAssumed",NA,"oceanodromous",51243,50,NA,9340,NA,NA,NA,5,29114,NA,NA,27.83,28.39,65,"FL",NA,NA,29114,60,"TL",NA,NA,47377,1720,NA,40637,"AUTHA_U0",NA,NA,NA,4931,"highly commercial","very high","Reliable: based on ex-vessel price for this species","<i>A. rochei</i> and <i>A. thazard</i>.","from 100,000 to 500,000","Philippines, Japan, India","seines"," ",0,1,0,1,0,1,0,1,1,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Adults are epipelagic in neritic and oceanic waters (Ref. 9340). They feed on small fish, squids, planktonic crustaceans (megalops), and stomatopod larvae (Ref. 5213). Because of their abundance, they are considered an important element of the food web, particularly as forage for other species of commercial interest. They are preyed upon by larger fishes, including other tunas (Ref. 9987). Marketed fresh and frozen (Ref. 9340) and also utilized dried or salted, smoked and canned (Ref. 9987).",NA,0.5625,0,2,1990-10-17,2,2024-01-15,421,1999-05-27,NA
"4","Cololabis saira",303,"Cololabis",2850,"(Brevoort, 1856)","Pacific saury","Cosai_u0.jpg",NA,NA,NA,208,NA,6838,NA,"elongated","O",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,230,9339,NA,NA,NA,4,72462,NA,NA,32.37,24.54,40,"SL",NA,NA,39882,NA,NA,NA,NA,NA,180,NA,56527,"COSAI_U0",NA,NA,NA,4931,"highly commercial","medium","Reliable: based on ex-vessel price for this species",NA,"from 100,000 to 500,000",NA,"seines"," ",0,1,0,0,0,0,0,1,0,1,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults are generally found offshore, usually near surface, in schools (Ref. 2850).  Juveniles associate with drifting seaweed (Ref. 12114, 12115).  Feed on small crustaceans, and eggs and larvae of fishes.  May glide above the surface of the water when moving away from predators.  Prey of <i>Thunnus alalunga</i> and other scombrids (Ref. 9339).  Oviparous, with larvae neustonic (Ref. 36573).  Eggs are attached to one another and to floating objects via filaments on the shell surface (Ref. 36573).  Utilized dried or salted, canned and frozen; also used for fishmeal and pet food; can be pan-fried and broiled (Ref. 9988).",NA,0.781199991703033,0,1,1990-10-17,2,2024-01-17,10,1994-07-04,NA
"5","Euthynnus affinis",96,"Euthynnus",168,"(Cantor, 1849)","Kawakawa","Euaff_u3.jpg",NA,NA,NA,416,"Scombrinae",7010,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-neritic","WaterAssumed",NA,"oceanodromous",51243,0,200,54439,NA,NA,NA,6,121508,NA,NA,35.82,75,100,"FL",NA,NA,168,60,"FL",NA,NA,168,14000,NA,30874,"EUAFF_U0",NA,NA,NA,4931,"highly commercial","medium","Reliable: based on ex-vessel price for this species",NA,"from 100,000 to 500,000","Philippines, Malaysia, India","hooks and lines","trolling lines (LTL)",1,1,0,1,0,1,0,0,1,1,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"reports of ciguatera poisoning",30911,"no special ability",NA,NA,1,"Occurs in open waters but always remains close to the shoreline.  The young may enter bays and harbors. Forms multi-species schools by size with other scombrid species comprising from 100 to over 5,000 individuals.  A highly opportunistic predator feeding indiscriminately on small fishes, especially on clupeoids and atherinids; also on squids, crustaceans and zooplankton. Caught in multispecies fisheries, mainly by surface trolling; also with gill nets.  Generally marketed canned and frozen; also utilized dried, salted, smoked and fresh (Ref. 9684).",NA,0.625,0,2,1990-10-17,2,2024-01-15,18,1994-03-16,NA
"6","Euthynnus alletteratus",97,"Euthynnus",168,"(Rafinesque, 1810)","Little tunny","Euall_u0.jpg",NA,NA,NA,416,"Scombrinae",7010,NA,"fusiform / normal","R",NA,NA,0,0,1,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,1,150,28173,NA,NA,NA,10,28173,NA,NA,40.63,40.3,122,"TL",NA,NA,26340,80,"TL",NA,NA,5217,16500,NA,40637,"EUALL_U1",NA,NA,NA,4931,"commercial","medium","Reliable: based on ex-vessel price for this species","Multispecies fishery.","from 10,000 to 50,000","Senegal, Angola, Venezuela","seines","beach seines (SB)",1,1,0,1,0,1,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"reports of ciguatera poisoning",30303,"no special ability",NA,NA,1,"Found in neritic waters close inshore (Ref. 13628).  This schooling species is an opportunistic predator which feeds on virtually everything within its range, i.e. crustaceans, fishes (mainly clupeoid), squids, heteropods and tunicates.  Eggs and larvae are pelagic (Ref. 6769).  Specialized traps (madragues) are used in Tunisia and Morocco.  Diving bird flocks may indicate large schools (Ref. 9710).  Utilized fresh, dried-salted, smoked, canned and frozen (Ref. 9987).  A popular game fish (Ref. 9710).",NA,0.625,0,5,1990-10-17,1,2019-12-18,421,1999-05-27,NA
"7","Euthynnus lineatus",98,"Euthynnus",168,"Kishinouye, 1920","Black skipjack","Eulin_u1.jpg",NA,NA,NA,416,"Scombrinae",7010,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,40,5227,NA,NA,NA,NA,NA,NA,NA,57.3,87.75,84,"FL",NA,NA,168,60,"FL",NA,NA,9340,9120,NA,168,"EULIN_U0",NA,NA,NA,4931,"minor commercial","high","Reliable: based on ex-vessel price for this species",NA,"up to 1,000 tons/year",NA,"seines","purse seines (PS)",0,0,0,0,0,0,0,0,1,1,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Occurs rarely where surface temperatures fall below 23°C.  Its larvae are more frequently encountered at temperatures above 26°C and are practically confined to waters within about 240 miles off the mainland.  Inhabits near the surface of coastal waters and offshore waters (Ref. 11035).  Form multi-species schools with <i>Thunnus albacares</i> and <i>Katsuwonus pelamis</i>.  An opportunistic predator which shares feeding pattern with other tunas and probably compete for food with other species such as yellowfin tuna, common dolphin, oriental bonito, among others.",NA,0.625,0,2,1990-10-17,949,2008-09-10,18,1994-03-17,NA
"8","Istiompax indica",217,"Istiompax",43,"(Cuvier, 1832)","Black marlin","Maind_u2.jpg",NA,NA,NA,419,NA,4043,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,915,43,0,200,43,NA,NA,NA,NA,78.22,76.32,465,"FL",NA,NA,40637,380,"TL",NA,NA,30573,750000,NA,5503,"MAIND_U0",NA,NA,NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species",NA,"from 1,000 to 10,000",NA,"hooks and lines","unspecified longlines (LL)",0,1,0,0,1,0,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Oceanic, usually found in surface waters above the thermocline, often near shore close to land masses, islands and coral reefs.  Feed on fishes, squids, cuttlefishes, octopods, large decapod crustaceans and mostly on small tunas when abundant (Ref. 9668).  The flesh is of good quality; marketed refrigerated or frozen and prepared as sashimi in Japan (Ref. 9308).  Also Ref. 9692.",NA,1.00049996376038,0,2,1990-10-17,303,2012-03-06,2,1999-08-24,NA
"9","Istiophorus platypterus",77,"Istiophorus",43,"(Shaw, 1792)","Indo-Pacific sailfish","Ispla_ub.jpg",NA,NA,NA,419,NA,3516,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,200,54238,30,NA,9688,13,53742,NA,NA,40.65,47.97,348,"FL",NA,NA,40637,270,"TL",NA,NA,9308,100240,NA,40637,"ISPLA_U0",NA,NA,NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species","By-catch of the tuna fishery.","from 1,000 to 10,000","Mostly Japan (FAO fishing area 61)","gillnets",NA,1,1,0,0,1,0,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Oceanic and epipelagic species usually found above the thermocline.  Most densely distributed in waters close to coasts and islands (Ref. 9688).  Most likely schools by size.  Undergoes spawning migrations in the Pacific.  Feeds mainly on fishes, crustaceans and cephalopods. Caught mainly with longlines, set nets, and sometimes by trolling and harpooning from boats (Ref. 43). Utilized fresh, smoked and frozen; also used for sashimi and sushi; eaten broiled and baked (Ref. 9987).",NA,0.750500023365021,0,2,1990-10-17,14,2020-09-08,113,1995-07-03,NA
"10","Kajikia albida",219,"Kajikia",43,"(Poey, 1860)","Atlantic white marlin","Tealb_u1.jpg",NA,NA,NA,419,NA,9072,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,150,43,0,100,55219,NA,NA,NA,NA,41.31,62.17,300,"TL",NA,NA,4770,210,"TL",NA,NA,5217,82500,NA,43,"TEALB_U0",NA,NA,NA,4931,"minor commercial","high","Reliable: based on ex-vessel price for this species","Food fish.","up to 1,000 tons/year","Mostly by Cuba (in areas 31 and 34)","hooks and lines","unspecified longlines (LL)",0,1,0,0,0,0,0,0,0,1,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Usually above the thermocline.  Its distribution varies seasonally, reaching higher latitudes in both the northern and southern hemispheres only during the respective warm seasons.  Usually found in deep (over 100 m) blue water with surface temperatures over 22°C and salinities of 35 to 37  ppt.  Currents of 0.5 to 2 knots occur over much of its habitat.  Feeds on fishes and squids.  Females grow larger (Ref. 4770).  Flesh is of excellent quality.  Marketed fresh and frozen.",NA,0.750500023365021,0,2,1990-10-17,303,2012-03-06,10,1994-02-28,NA
"11","Kajikia audax",223,"Kajikia",43,"(Philippi, 1887)","Striped marlin","Teaud_u3.jpg",NA,NA,NA,419,NA,9072,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,200,43,NA,NA,NA,NA,NA,NA,NA,43.55,47.93,420,"TL",NA,NA,30874,290,"TL",NA,NA,9308,440000,NA,30874,"TEAUD_U0",NA,NA,NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species",NA,"from 10,000 to 50,000","Mostly by Japan (in areas 61 and 77)","hooks and lines","drifting longlines (LLD)",1,1,0,0,0,0,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Epipelagic and oceanic species, usually found above the thermocline.  Generally inhabit cooler water than either black (<i>Makaira indica</i>) or blue marlin (<i>M. mazara</i>) (Ref. 43).  Most dominant and widely distributed of all billfishes.  Their abundance increases with distance from the continental shelf (Ref. 6390).  Usually seen close to shore only where deep drop-offs occur (Ref. 6390).  Mostly solitary, but form small schools by size during the spawning season (Ref. 9987).  They are usually dispersed at considerably wide distances.  Feed on fishes, crustaceans and squids.  Also caught with the harpoon.  The flesh is the best among billfishes for sashimi and sushi.  Marketed mostly frozen, sometimes fresh (Ref. 43); also smoked and frozen (Ref. 9987).  Also Ref. 9137, 9574.",NA,0.750500023365021,0,2,1990-10-17,303,2013-03-01,2,1999-08-19,NA
"12","Katsuwonus pelamis",107,"Katsuwonus",168,"(Linnaeus, 1758)","Skipjack tuna","Kapel_m0.jpg",NA,NA,NA,416,"Scombrinae",4643,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",NA,0,260,9340,0,NA,55287,12,168,NA,NA,38.12,41.28,110,"FL",NA,NA,89423,80,"FL",NA,NA,168,34500,NA,168,"KAPEL_U0",NA,NA,NA,4931,"highly commercial","high","Reliable: based on ex-vessel price for this species",NA,"more than 500,000","Mostly Japan (FAO fishing area 61); also 67.","seines","purse seines (PS)",1,1,0,1,0,1,0,0,1,1,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"reports of ciguatera poisoning",4690,"no special ability",NA,NA,1,"Found in offshore waters; larvae restricted to waters with surface temperatures of 15°C to 30°C (Ref. 6390).  Exhibit a strong tendency to school in surface waters with birds, drifting objects, sharks, whales and may show a characteristic behavior like jumping, feeding, foaming, etc.  Feed on fishes, crustaceans, cephalopods and mollusks; cannibalism is common.  Spawn throughout the year in the tropics, eggs released in several portions (Ref. 35388).  Eggs and larvae are pelagic (Ref. 6769).  Preyed upon by large pelagic fishes (Ref. 6885).  Also taken by trolling on light tackle using plugs, spoons, feathers, or strip bait (Ref. 9684).  Marketed fresh, frozen or canned (Ref. 9340, 9684 ); also dried-salted and smoked (Ref. 9987).",NA,1,0,2,1990-10-17,2,2024-01-15,2,1999-08-19,NA
"13","Makaira mazara",218,"Makaira",43,"(Jordan & Snyder, 1901)","Indo-Pacific blue marlin","Mamaz_u2.jpg",NA,NA,NA,419,NA,189,1,"elongated","R",NA,"This species is synonym of <i>Makaira nigricans</i> Lacepède, 1802 in Eschmeyer (CofF ver. Jan. 2012: Ref. 89336) following Collette <i>et al.</i> (2006) and Bray <i>et al.</i> (2006).  The species page will be removed.",4,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,200,43,100,NA,6390,28,30371,NA,NA,70.43,84.11,500,"TL",NA,NA,30874,350,"TL",NA,NA,9308,170000,906000,6390,"MAMAZ_U0",NA,NA,NA,4931,"commercial","high","Reliable: based on ex-vessel price for this species","Mainly with other marlins.","from 10,000 to 50,000","Mostly Japan (areas 77, 71 and 61)","hooks and lines","unspecified longlines (LL)",1,1,0,0,1,0,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,43,"harmless",NA,"no special ability",NA,NA,1,"Epipelagic and oceanic species mostly confined to the waters on the warmer side of the 24°C surface isotherm and known to effect seasonal north-south migrations.  Not usually seen close to land masses or islands, unless there is a deep drop-off of the shelf.  Remain mostly within the upper 37 m.  Believed to form small-scale schools of at most 10 individuals.  Larger fish tend to swim solitarily (Ref. 43) but smaller ones form schools of about 10 individuals (Ref. 9987).  Feed on squids, tuna-like fishes, crustaceans and cephalopods (Ref. 9308).  Also caught with troll lines (Ref. 9308).  The flesh is of good quality and is marketed frozen and prepared as sashimi and sausages in Japan (Ref. 9308); also utilized fresh (Ref. 9987).  Also Ref. 9692.",NA,0.750500023365021,0,2,1990-10-17,303,2012-03-06,2,1999-08-19,NA
"14","Makaira nigricans",216,"Makaira",43,"Lacepède, 1802","Blue marlin","Manig_f0.jpg",NA,"Manig_f0.jpg",NA,419,NA,189,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,1000,43,NA,NA,NA,NA,NA,NA,NA,51.7,50,500,"TL",500,"TL",11441,290,"TL",NA,NA,6659,636000,820000,40637,"MANIG_U0",NA,NA,NA,4931,"commercial","high","Reliable: based on ex-vessel price for this species","By-catch of tuna fishery.","from 1,000 to 10,000","Mostly by Sri lanka (51)","hooks and lines","unspecified longlines (LL)",0,1,0,0,0,0,0,0,1,1,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"An oceanic species.  Water color affects its occurrence, at least in the northern Gulf of Mexico, where the fish show preference for blue water.  Rarely gathers in schools and usually found as scattered single individuals.  Feeds mainly on fishes but also preys on octopods and squids.  Marketed fresh or frozen (Ref. 43).  Feeding takes place during daytime.  Maturity reached at about 80 cm in males and 50 cm in females (Ref. 36731).  Females grow larger (Ref. 4770). Recent study indicates maximum age close to 20 years using a series of deductions in the ¹⁴C dating method (Ref. 120707).",NA,0.750500023365021,0,2,1990-10-17,2,2024-01-17,10,1994-02-26,NA
